movie_id,title,genre,release_year,duration_minutes
1,Movie 1,Action,2008,162
2,Movie 2,Romance,1994,90
3,Movie 3,Drama,1986,165
4,Movie 4,Horror,1987,112
5,Movie 5,Action,1996,127
6,Movie 6,Drama,2022,165
7,Movie 7,Comedy,1996,108
8,Movie 8,Thriller,2014,104
9,Movie 9,Romance,1988,152
10,Movie 10,Romance,2008,161
11,Movie 11,Drama,2010,135
12,Movie 12,Anime,2000,136
13,Movie 13,Romance,2022,86
14,Movie 14,Drama,2014,149
15,Movie 15,Drama,1985,151
16,Movie 16,Comedy,2011,114
17,Movie 17,Action,2004,156
18,Movie 18,Horror,2016,179
19,Movie 19,Thriller,1981,98
20,Movie 20,Horror,2002,97
21,Movie 21,Action,2023,128
22,Movie 22,Horror,2009,98
23,Movie 23,Anime,2010,179
24,Movie 24,Drama,2010,105
25,Movie 25,Romance,2009,168
26,Movie 26,Drama,1982,85
27,Movie 27,Comedy,1988,168
28,Movie 28,Thriller,2007,174
29,Movie 29,Sci-Fi,2016,179
30,Movie 30,Comedy,2018,167
31,Movie 31,Romance,1988,87
32,Movie 32,Sci-Fi,1999,150
33,Movie 33,Drama,1982,109
34,Movie 34,Anime,2017,152
35,Movie 35,Drama,2014,147
36,Movie 36,Action,1996,166
37,Movie 37,Sci-Fi,1996,111
38,Movie 38,Drama,1983,165
39,Movie 39,Romance,2007,92
40,Movie 40,Action,1981,175
41,Movie 41,Romance,2013,108
42,Movie 42,Horror,2009,154
43,Movie 43,Comedy,2000,157
44,Movie 44,Sci-Fi,2020,108
45,Movie 45,Thriller,1997,131
46,Movie 46,Thriller,1995,168
47,Movie 47,Anime,1980,139
48,Movie 48,Drama,2018,100
49,Movie 49,Horror,1994,147
50,Movie 50,Action,1985,140
51,Movie 51,Thriller,2012,179
52,Movie 52,Sci-Fi,1993,106
53,Movie 53,Romance,1981,120
54,Movie 54,Drama,2003,148
55,Movie 55,Horror,2007,138
56,Movie 56,Comedy,1985,152
57,Movie 57,Thriller,2004,126
58,Movie 58,Comedy,2001,140
59,Movie 59,Romance,2000,91
